yyyymm,factory_code,factory_name,movement_type,location_code,username,order_no,legal_entity_code,biz_date,material_group,material_code,material_desc,delivery_qty,source_table_name
202501,F001,深圳工厂,101,L1,u_exact,A01,LE01,2025-01-01,MG1,MAT_EXACT,精确匹配物料,100,SAP_ACCEPTANCE
202501,F001,深圳工厂,201,L2,u_any,A02,LE01,2025-01-02,MG1,MAT_ALL,ALL通配物料,80,SAP_ACCEPTANCE
202501,F003,广州工厂,101,L1,u_missing,A03,LE03,2025-01-03,MG3,MAT_NOT_FOUND,物料主数据缺失,60,SAP_ACCEPTANCE
202501,F004,成都工厂,101,L1,u_coef,A04,LE04,2025-01-04,MG4,MAT_NO_COEF,机型系数缺失,30,SAP_ACCEPTANCE
202501,F005,武汉工厂,101,L1,u_fee,A05,LE05,2025-01-05,MG5,MAT_NO_FEE,单台加工费缺失,40,SAP_ACCEPTANCE
202501,F006,南京工厂,101,L1,u_pnl,A06,LE06,2025-01-06,MG6,MAT_NO_PNL,损益交货量规则缺失,25,SAP_ACCEPTANCE
202501,F007,重复工厂,101,L1,u_dup,A07,LE07,2025-01-07,MG7,MAT_DUP,同优先级重复命中,10,SAP_ACCEPTANCE
202501,F008,美元工厂,101,L1,u_usd,A08,LE08,2025-01-08,MG8,MAT_USD,美元加工费换算,10,SAP_ACCEPTANCE
202501,F009,不计损益工厂,101,L1,u_no_pnl,A09,LE09,2025-01-09,MG9,MAT_INCLUDE_NO,不计入损益交货量,50,SAP_ACCEPTANCE
202501,F010,异常数量工厂,101,L1,u_bad_qty,A10,LE10,2025-01-10,MG10,MAT_BAD_QTY,交货数量异常,abc,SAP_ACCEPTANCE
